,CM Artist ID,CM Track ID,Title,Artist,Spotify Track IDs,Release Dates
65,2378,15487654,Seven-Mile Island,Jason Isbell,"['5KhgZFmCW6yqfsHUsfIhyH', '0ucTf4ncdfziqlynsmZQts', '2OQxxiAvtEiqAmxa6ZrgIU', '7BExHhPzMI5BNcB5fcyegr', '4rkxOBROoX6FC56GrQGpmB']","['2009-02-17T00:00:00.000Z', '2010-06-29T00:00:00.000Z', '2009-06-01T00:00:00.000Z', '2009-02-17T00:00:00.000Z']"
66,2378,15487655,Sunstroke,Jason Isbell,"['2WMx9vmyE8YSMjLiHzAZTg', '5PNG3YPxlg6IBpRqX5blRF', '08P2iLavnhnyY1RTWlm8A3', '4peg8vjvpdNezWvWJ1FD4U', '7q9e6uSJoWnXDGZGulfOKx']","['2009-02-17T00:00:00.000Z', '2010-06-29T00:00:00.000Z', '2009-06-01T00:00:00.000Z', '2009-02-17T00:00:00.000Z']"
67,2378,15487656,Good,Jason Isbell,"['2fMRo1gRFtHaG5rwpmy35n', '7ytmP9RxaNoJIOdUfvdKpg', '72GMZgLmfyq1m5d5G5SSzZ', '3xbb3L5eiprudJ0932IytT']","['2009-02-17T00:00:00.000Z', '2010-06-29T00:00:00.000Z', '2009-02-17T00:00:00.000Z']"
68,2378,15487657,Cigarettes And Wine,Jason Isbell,"['6EDrEfDmQcuzruPEzmxbTk', '7wjpKrXrNR8bdYFkscdCI4', '4sjNemZfXma6oU8R9zCbwt', '4OcyPBCrsDhXorLnNwqxKe', '1pcK0nEbxjPZXGu80avPhH']","['2009-02-17T00:00:00.000Z', '2010-06-29T00:00:00.000Z', '2009-06-01T00:00:00.000Z', '2009-02-17T00:00:00.000Z']"
69,2378,15487658,However Long,Jason Isbell,"['5Da0AbYaY1gJeMylHlNONK', '7dx89qwDr5ZqUqtkF6xmRd', '4sIFxv5otfocBURGZc2IWz']","['2009-02-17T00:00:00.000Z', '2010-06-29T00:00:00.000Z', '2009-02-17T00:00:00.000Z']"
70,2378,15487659,Coda,Jason Isbell,"['5fZFlkILCysGB3QV7fnrqK', '3Ves4WaXlx4wDoRdcoatVq', '3qzjxmt6BQlnhLz822OVzr', '0wfLe7llG03fOj3wiLcFkH']","['2009-02-17T00:00:00.000Z', '2010-06-29T00:00:00.000Z', '2009-02-17T00:00:00.000Z']"
71,2378,15487661,No Choice in the Matter,Jason Isbell,"['70JmO6qUiOo0JRJG2pqH4Y', '5ZlJFhFdiAmsOMXifcIn2s', '6kSvyHPUsc1G005wJ1LXsz']","['2009-02-17T00:00:00.000Z', '2010-06-29T00:00:00.000Z', '2009-02-17T00:00:00.000Z']"
72,2378,15487662,Soldiers Get Strange,Jason Isbell,"['73EGhSHgQSGxh8HWi7Q7KN', '2D1lbIsODdESzsBoMSRwol', '2pIXCrBylQV9uEH4KkwkO7']","['2009-02-17T00:00:00.000Z', '2010-06-29T00:00:00.000Z', '2009-02-17T00:00:00.000Z']"
73,2378,15487664,The Last Song I Will Write,Jason Isbell,"['5WfwsBIUbpklssUIfDZMWF', '269nCigUyT3TlSR0kUNAVO', '0Jkz1eLvWcdjyNoFS7jb6E', '0fzeLMOFAmHn4fAiAFGNBH']","['2009-02-17T00:00:00.000Z', '2010-06-29T00:00:00.000Z', '2009-02-17T00:00:00.000Z']"
74,2378,15487667,The Blue (Acoustic),Jason Isbell,"['3wKV88l4Jkaw0svPMU5l6e', '5bYryelUpbycCDEU5CIeWn']",['2010-06-29T00:00:00.000Z']
75,1332593,23136647,I Ain't Easy To Love,Muscle Shoals,['4ReqVaIAxjkI2ZCNDjFYGC'],['2018-09-28T00:00:00.000Z']
76,77,24418001,Everything Is Broken,Sheryl Crow,"['5EZzpwaya04PRQIxtkTkeY', '3UHyIr4CEma2wusb208Wyl']","['2019-07-12T00:00:00.000Z', '2019-08-30T00:00:00.000Z']"
