,CM Artist ID,CM Track ID,Title,Artist,Release Dates
40,5596,15941053,COPYCAT,Billie Eilish,"['2017-07-28T00:00:00.000Z', '2017-08-11T00:00:00.000Z', '2017-07-21T00:00:00.000Z', '2017-07-14T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-08-11T00:00:00.000Z']"
41,5596,22669785,all the good girls go to hell,Billie Eilish,"['2019-03-29T00:00:00.000Z', '2019-10-24T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-11-29T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-02-14T00:00:00.000Z']"
42,5596,17879595,&burn (with Vince Staples),Billie Eilish,"['2017-12-15T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2018-02-23T00:00:00.000Z', '2017-12-15T00:00:00.000Z', '2017-12-22T00:00:00.000Z', '2017-08-11T00:00:00.000Z']"
43,5596,15939585,Ocean Eyes - GOLDHOUSE Remix,Billie Eilish,['2016-12-08T00:00:00.000Z']
44,5596,15939900,Six Feet Under - Gazzo Remix,Billie Eilish,['2017-02-03T00:00:00.000Z']
45,5596,18413087,Here I Am,Billie Eilish,"['2017-05-26T00:00:00.000Z', '2017-05-26T00:00:00.000Z']"
46,5596,15939899,Six Feet Under - Aire Atlantica Remix,Billie Eilish,['2017-02-03T00:00:00.000Z']
47,5596,14348076,Ocean Eyes (Astronomyy Edit),Billie Eilish,"['2016-01-08T00:00:00.000Z', '2017-01-17T00:00:00.000Z', '2017-11-17T00:00:00.000Z']"
48,5596,22672916,listen before i go,Billie Eilish,['2019-03-29T00:00:00.000Z']
49,5596,16898060,ocean eyes (Live),Billie Eilish,
50,1459349,22874471,Listen Before I Go,Dillon Mancuso,['2019-04-10T00:00:00.000Z']
51,5596,18068186,COPYCAT - Sofi Tukker Remix,Billie Eilish,"['2018-01-12T00:00:00.000Z', '2018-07-27T00:00:00.000Z', '2018-01-12T00:00:00.000Z']"
52,5596,19088585,lovely (with Khalid),Billie Eilish,"['2018-04-19T00:00:00.000Z', '2018-04-27T00:00:00.000Z', '2018-05-18T00:00:00.000Z', '2018-05-25T00:00:00.000Z', '2018-05-18T00:00:00.000Z', '2018-04-19T00:00:00.000Z', '2017-08-11T00:00:00.000Z']"
53,5596,15939583,Ocean Eyes - Blackbear Remix,Billie Eilish,"['2016-12-08T00:00:00.000Z', '2018-01-12T00:00:00.000Z']"
54,5596,14348077,Ocean Eyes (Blackbear Remix),Billie Eilish,"['2016-01-08T00:00:00.000Z', '2017-01-17T00:00:00.000Z']"
55,5596,24417830,bad guy,Billie Eilish,"['2019-07-11T00:00:00.000Z', '2019-07-11T00:00:00.000Z', '2019-12-25T00:00:00.000Z']"
