,CM Artist ID,CM Track ID,Title,Artist,Spotify Track IDs,Release Dates
43,250978,15487660,The Blue,Jason Isbell and the 400 Unit,6AiLKrFhtZDByDqXYekMcx,2009-02-17T00:00:00.000Z
44,250978,15487663,Streetlights,Jason Isbell and the 400 Unit,4xyAB7wwRcG25M6FHYYhGT,2009-02-17T00:00:00.000Z
45,250978,15487665,When My Baby's Beside Me,Jason Isbell and the 400 Unit,0kPEGY36WriQTAawAk2HNL,2010-06-29T00:00:00.000Z
46,250978,15487666,Streetlights (Acoustic),Jason Isbell and the 400 Unit,1RyFnah66JyAYwksCBdjvX,2010-06-29T00:00:00.000Z
47,250978,15487668,Cigarettes and Wine (Acoustic),Jason Isbell and the 400 Unit,6lNDm3aNyA9BrHIECLS2Vn,2010-06-29T00:00:00.000Z
48,250978,15487687,Alabama Pines,Jason Isbell and the 400 Unit,4mBYupeEa1e5Ep2HU7xToZ,2011-04-12T00:00:00.000Z
49,250978,15487688,Go It Alone,Jason Isbell and the 400 Unit,4uuegHyKeXPLhez7NzNIwc,2011-04-12T00:00:00.000Z
50,250978,15487689,We've Met,Jason Isbell and the 400 Unit,7nayEV9IXDgNyvFBwQzSlQ,2011-04-12T00:00:00.000Z
51,250978,15487690,Codeine,Jason Isbell and the 400 Unit,1oTSNAbTf9euFzHROnB5ph,2011-04-12T00:00:00.000Z
52,250978,15487691,Stopping By,Jason Isbell and the 400 Unit,3cSTDdJEfJzWJePEPMMJyl,2011-04-12T00:00:00.000Z
53,250978,15487692,Daisy Mae,Jason Isbell and the 400 Unit,1CbkedCUspTyMmcroV4jeq,2011-04-12T00:00:00.000Z
54,250978,15487693,The Ballad of Nobeard,Jason Isbell and the 400 Unit,5DwPd8gcyFMvKTAT5HxRvA,2011-04-12T00:00:00.000Z
55,250978,15487694,Never Could Believe,Jason Isbell and the 400 Unit,51LX2LS6nz4Xvu4Y9xY7dl,2011-04-12T00:00:00.000Z
56,250978,15487695,Heart on a String,Jason Isbell and the 400 Unit,2sGKqycIBk5Fb62rDPtm4V,2011-04-12T00:00:00.000Z
57,250978,15487696,Save It for Sunday,Jason Isbell and the 400 Unit,47OEtFT7PEqGMyN8IRdOHY,2011-04-12T00:00:00.000Z
58,250978,15487697,Tour of Duty,Jason Isbell and the 400 Unit,2khwKK69FT28rNpAya5dpL,2011-04-12T00:00:00.000Z
